gene,log2FC_good_vs_bad,mean_good,mean_bad,t_statistic,p_value,fdr,abs_log2FC,direction
PSPHP1,-3.912998368011835,1.564232270587915,5.4772306385997505,-3.560399365603181,0.001979413394246375,0.643160289481671,3.912998368011835,NS
IGHD,3.0328044670245617,4.28146908864252,1.2486646216179587,4.103302056943111,0.0005792218661682707,0.643160289481671,3.0328044670245617,NS
CPB1,-2.7795865404423226,1.8701268036245282,4.649713344066851,-1.7168620465009201,0.11297161773248174,0.6933215070100435,2.7795865404423226,NS
CXCL13,2.643025595185274,4.776487563463186,2.1334619682779117,2.5772260482532316,0.018102489478704575,0.6764263426859727,2.643025595185274,NS
EEF1A2,-2.622583261695574,2.584297695331765,5.206880957027339,-2.1119995170352275,0.056940461203467845,0.6834273077495127,2.622583261695574,NS
ARHGAP40,2.3839902465686578,3.7262626812009723,1.3422724346323147,2.7104493412788973,0.01349718425331438,0.6764263426859727,2.3839902465686578,NS
TNNT1,-2.3655202735007332,2.00725670473732,4.372776978238053,-1.6316344592009868,0.13118782902909987,0.706831178951664,2.3655202735007332,NS
KRT7,2.3145762582575227,7.810480090158265,5.495903831900742,2.0203391164002538,0.06696199671187439,0.6834273077495127,2.3145762582575227,NS
KLK11,2.307336954307802,3.6429770254640377,1.335640071156236,3.1193213521453353,0.005734639550253892,0.6745714032071729,2.307336954307802,NS
ALOX15B,2.2118284783046605,4.407823668822717,2.1959951905180564,2.3162311695480264,0.03479285791874788,0.6813362680813191,2.2118284783046605,NS
KRT15,2.1599790935166547,6.871978690263614,4.711999596746959,1.6213221373089033,0.13155887929555066,0.7072035673531915,2.1599790935166547,NS
CALML5,2.14503165390243,4.83552150720462,2.6904898533021897,2.1835766408653603,0.04199019260588854,0.6834273077495127,2.14503165390243,NS
CHI3L1,2.061396560886676,6.592573361313733,4.531176800427057,2.4546336751804474,0.023851041220093874,0.680275821656149,2.061396560886676,NS
PROM1,2.0560556372242966,5.180037974587687,3.123982337363391,1.8552175967851021,0.0828472278833369,0.6834273077495127,2.0560556372242966,NS
AQP5,2.0414605717221894,3.9721924666250863,1.9307318949028967,1.9470485718275814,0.06842688391426702,0.6834273077495127,2.0414605717221894,NS
FABP7,1.9816308956064046,4.041838396647285,2.0602075010408805,1.8577902738267829,0.07801794108031833,0.6834273077495127,1.9816308956064046,NS
SERHL2,1.9713905537412646,3.499476769880614,1.5280862161393494,2.822445071501255,0.013312410023653121,0.6764263426859727,1.9713905537412646,NS
TAT,1.9676482714905417,3.2889313627629315,1.3212830912723899,1.8119017098630683,0.08731466117836229,0.6834273077495127,1.9676482714905417,NS
STAC2,1.9518010306051479,5.90749967842452,3.955698647819372,1.3740212888145618,0.1928767612363685,0.7347373469488283,1.9518010306051479,NS
TRBJ1-5,1.9274794163774884,2.4579570089904506,0.5304775926129621,4.144249562043032,0.0006291362706567437,0.643160289481671,1.9274794163774884,NS
SYT13,-1.917596349508226,1.9983820733513005,3.9159784228595265,-1.7267828012673792,0.1101926632131812,0.691493639956751,1.917596349508226,NS
CLDN1,1.8842894501064689,5.143823018577236,3.259533568470767,2.427345366230006,0.02526644952265817,0.680275821656149,1.8842894501064689,NS
SFRP1,1.8682918250658895,7.755087676166186,5.886795851100296,1.3667827163570319,0.19115077165007044,0.7347037825005871,1.8682918250658895,NS
AC099677.1,1.8588395245212554,4.025057210119055,2.1662176855977995,3.146192686037875,0.006210621677739064,0.6745714032071729,1.8588395245212554,NS
UGT2B11,1.8479497423127047,2.926766036085762,1.0788162937730574,1.8215492034130025,0.08556492130948135,0.6834273077495127,1.8479497423127047,NS
IGHV1-45,1.8471847736870317,3.1859569992555445,1.3387722255685128,2.884215811279244,0.009423926299950428,0.6764263426859727,1.8471847736870317,NS
AZGP1,1.8073746810874214,9.43006459112374,7.622689910036319,1.3200967324863622,0.21179142078741156,0.740238629316265,1.8073746810874214,NS
GABRP,1.7969934506332788,6.42438161068532,4.627388160052042,1.1867503404448505,0.25244692070180197,0.7572094993022983,1.7969934506332788,NS
AC093297.1,-1.794565550846954,0.8469249133201748,2.641490464167129,-1.69915829193627,0.1224801338173742,0.7003513317966861,1.794565550846954,NS
HMGCS2,1.771132650142806,4.45477404963139,2.683641399488584,1.3922684316448506,0.17914020959254334,0.7288303077806598,1.771132650142806,NS
PEG10,1.7540587210539087,5.289589506968108,3.535530785914199,2.2197269498265424,0.03826185235476016,0.6818087557627369,1.7540587210539087,NS
IGLV10-54,1.7334384213171266,3.330238319495076,1.5967998981779497,2.1887448529630573,0.04087649691193349,0.6834273077495127,1.7334384213171266,NS
ID4,1.7292602290894648,6.097018055349281,4.367757826259816,1.940123100771469,0.07352773672823486,0.6834273077495127,1.7292602290894648,NS
TFAP2B,1.729082335744714,3.5374027479827452,1.8083204122380312,1.7614243434824666,0.09382000159297775,0.6834273077495127,1.729082335744714,NS
C6orf141,1.7237076211086109,3.518067019418391,1.7943593983097803,3.5103967595807015,0.003055804915111764,0.6444232619184341,1.7237076211086109,NS
KRT23,1.7180849083566838,4.9851830354675295,3.2670981271108457,1.7662337711676948,0.0940246611827047,0.6834273077495127,1.7180849083566838,NS
IGKV2D-40,1.715572044389674,3.2075540750799787,1.4919820306903047,2.573925030769487,0.018163357446885773,0.6764263426859727,1.715572044389674,NS
PPP1R1B,1.7125296449552327,5.536810576858575,3.8242809319033424,1.6582282951600433,0.12197970435071462,0.7003513317966861,1.7125296449552327,NS
LPL,1.69946525158257,6.852936037349049,5.153470785766479,1.5196243232650635,0.150104970346373,0.7138608156314032,1.69946525158257,NS
SCGB3A1,1.6978097175128433,4.743374128695505,3.045564411182662,1.3000260443650855,0.21076107358617943,0.7400157229195164,1.6978097175128433,NS
CLCA2,1.6968325550410697,3.7254787734143378,2.028646218373268,1.6684544652278537,0.11136335229473311,0.691493639956751,1.6968325550410697,NS
HSPB8,-1.6908716875238206,4.408549222571477,6.099420910095297,-2.0061461856677663,0.06587264251915723,0.6834273077495127,1.6908716875238206,NS
MIR186,1.6622566521979372,3.870088063599755,2.207831411401818,2.71221996541146,0.013994519234957386,0.6764263426859727,1.6622566521979372,NS
IGKV2-24,1.6555574634606276,5.11280025238268,3.4572427889220525,2.2916125705902117,0.03334048050572718,0.6813362680813191,1.6555574634606276,NS
JCHAIN,1.65186849174761,8.456696822679284,6.804828330931674,1.475146711119488,0.15790183182322715,0.7155483108731323,1.65186849174761,NS
IGHM,1.647870081496965,8.422237053576767,6.774366972079802,1.4860980930281802,0.15752658257570631,0.7155483108731323,1.647870081496965,NS
SLC6A14,1.632594608005539,3.244188003579024,1.6115933955734851,1.7605725456335497,0.09512138853683909,0.6834273077495127,1.632594608005539,NS
IGLV3-25,1.6315879082878206,7.270492667439506,5.638904759151686,1.3774801312717564,0.18406150230232884,0.7308280286851833,1.6315879082878206,NS
IL7R,1.6242344381183171,4.077302769155839,2.453068331037522,3.1825787194027457,0.004692148823480772,0.6745714032071729,1.6242344381183171,NS
MS4A1,1.6205914543207842,2.315357920219478,0.6947664658986938,3.5897613104025914,0.0025590954286225783,0.643160289481671,1.6205914543207842,NS
PLIN1,1.6192276904686915,5.1984461321999,3.579218441731208,1.0036472582667588,0.33050711058982496,0.7866064404980524,1.6192276904686915,NS
UGT2B28,1.6072435897886395,1.732739139266162,0.12549554947752245,1.8264919381699372,0.09250558621604034,0.6834273077495127,1.6072435897886395,NS
IGHV1-24,1.5983895125726697,4.82264225330832,3.2242527407356505,2.035821555007437,0.05523295245919825,0.6834273077495127,1.5983895125726697,NS
GLYATL2,1.5962918127980519,4.60744072239166,3.011148909593608,2.4312029917234743,0.029663464668710254,0.680275821656149,1.5962918127980519,NS
EHF,1.5951064277025164,7.598461809610587,6.0033553819080705,1.6462225816693912,0.1240097355919323,0.7016010170997234,1.5951064277025164,NS
NFKBIZ,1.5948305473571285,4.726930699886567,3.1321001525294383,3.0007712110578146,0.008153120746740483,0.6745714032071729,1.5948305473571285,NS
CP,1.5788704297185951,4.452447984773911,2.8735775550553155,1.6357470699402779,0.12103692311479956,0.700237791004909,1.5788704297185951,NS
IGLV2-23,1.5771886643764894,7.79839608033519,6.221207415958701,1.3954506796906285,0.17931192216845315,0.7288303077806598,1.5771886643764894,NS
KRT7-AS,1.5743336982897465,3.19271972364029,1.6183860253505438,2.7681350752364846,0.014464326239971069,0.6764263426859727,1.5743336982897465,NS
AQP3,1.572323951762992,5.214974974474474,3.6426510227114823,2.3318190194747337,0.030285299094543746,0.680275821656149,1.572323951762992,NS
ELF5,1.5607314736739486,5.284958372786223,3.7242268991122742,1.2110341292732443,0.2479616467520481,0.7557350117836383,1.5607314736739486,NS
IGKJ4,1.555894397643119,3.226267512664677,1.670373115021558,1.9359994529027915,0.07042205802816734,0.6834273077495127,1.555894397643119,NS
ACTA1,-1.5556174284371727,2.1321255727867916,3.6877430012239643,-0.8673003530346829,0.403025737810094,0.8124037352364261,1.5556174284371727,NS
MIR4483,1.552922730030807,2.176098953326847,0.6231762232960397,3.157580489691458,0.005129537653345016,0.6745714032071729,1.552922730030807,NS
IGLV3-9,1.5517265754687708,4.895931437089913,3.344204861621142,1.8793048357419135,0.07487206811086478,0.6834273077495127,1.5517265754687708,NS
CACNG1,-1.5486743854513951,1.087430878120481,2.636105263571876,-1.7508058635466675,0.1120959676014392,0.691493639956751,1.5486743854513951,NS
COL9A3,1.5478600230045965,2.6067507373922334,1.058890714387637,2.1092717845109132,0.05182587149546073,0.6834273077495127,1.5478600230045965,NS
ADIPOQ,1.5435499706273603,4.615781931013912,3.072231960386552,0.991448095138656,0.335718083802536,0.7882697976699232,1.5435499706273603,NS
TRBJ1-4,1.54240525655203,2.2922148137238483,0.7498095571718182,3.401454413569731,0.002976579309184219,0.6444232619184341,1.54240525655203,NS
OAZ1P1,1.5408586614110638,2.034053308505041,0.49319464709397753,2.444149208159455,0.026380605969967063,0.680275821656149,1.5408586614110638,NS
