cell_type,mean_survivor,mean_death,difference,p_value,direction
CD8_T_cells,0.2689138295334915,-0.2753571797760229,0.5442710093095144,0.06514535029120794,Higher in survivors
CD4_T_cells,0.27625108666634784,-0.5875734037019206,0.8638244903682684,0.013846896652929184,Higher in survivors
T_regulatory,0.224659773990709,-0.33865550584971,0.563315279840419,0.10448198524797028,Higher in survivors
NK_cells,0.3001875403074586,-0.25765304769671166,0.5578405880041702,0.048787820344567835,Higher in survivors
B_cells,0.35156005954874353,-0.4451839373787308,0.7967439969274743,0.007444253626147053,Higher in survivors
Macrophages_M1,0.175029798490308,-0.1383927880880584,0.3134225865783664,0.19809970740946523,Higher in survivors
Macrophages_M2,0.03189329917779653,-0.22606863656485418,0.2579619357426507,0.43340419494440396,Higher in survivors
Dendritic_cells,0.21822205432457453,-0.5133015120522995,0.731523566376874,0.01836813510396037,Higher in survivors
Neutrophils,-0.020705964490775077,-0.09702818064000454,0.07632221614922946,0.6791671070886147,Higher in survivors
Mast_cells,-0.19322826562759027,-0.2277954862594995,0.03456722063190923,0.9054892671321487,Higher in survivors
Exhaustion,0.3166121664322568,-0.2600078560924135,0.5766200225246703,0.10807459318341833,Higher in survivors
IFN_gamma,0.3325535990744393,-0.17380494205777447,0.5063585411322138,0.230356493715409,Higher in survivors
