gene,log2FC_good_vs_bad,mean_good,mean_bad,t_statistic,p_value,fdr,abs_log2FC,direction
KLK1,3.746591929959571,5.333880487831737,1.587288557872166,2.0299868110077073,0.0761335381376278,0.9999124392578936,3.746591929959571,NS
MTND4P12,3.5217100978768308,7.665496727417567,4.143786629540736,2.461531589581552,0.058908182687984804,0.9999124392578936,3.5217100978768308,NS
CAPN6,-2.702583380316559,2.1591414363832837,4.861724816699843,-3.0134225244166326,0.014733770847280527,0.9999124392578936,2.702583380316559,NS
PAH,2.6823390033348367,5.5594134392692185,2.877074435934382,1.9257727794506163,0.08734096873129259,0.9999124392578936,2.6823390033348367,NS
PLG,2.6447601777487364,5.156422951094071,2.5116627733453347,1.8460765525974336,0.09644163676825922,0.9999124392578936,2.6447601777487364,NS
HPD,2.4627013511515212,6.027633195438652,3.5649318442871305,1.3154747702607372,0.21815866748091717,0.9999124392578936,2.4627013511515212,NS
NR4A3,2.354021797311562,4.375724414852173,2.021702617540611,2.983445076472196,0.017325161664687977,0.9999124392578936,2.354021797311562,NS
PIGR,-2.332387437681488,6.690046251272369,9.022433688953857,-2.403866633430327,0.03785691075087124,0.9999124392578936,2.332387437681488,NS
REN,2.3290214864998977,6.0330711121229275,3.7040496256230298,1.4232022960688562,0.1905630136972271,0.9999124392578936,2.3290214864998977,NS
CP,-2.317993229474959,2.18379764553328,4.501790875008239,-1.5933089258284385,0.16231722178193217,0.9999124392578936,2.317993229474959,NS
RBP4,-2.276332635167539,4.380207254302188,6.656539889469727,-1.390780630309227,0.1946133842311976,0.9999124392578936,2.276332635167539,NS
HAVCR1,-2.2689710395130245,3.380739461616934,5.649710501129959,-1.7568462685308217,0.11250382066437503,0.9999124392578936,2.2689710395130245,NS
IGLV3-21,-2.264419021404564,2.947786119275954,5.212205140680518,-1.1362927340037332,0.3006249408228052,0.9999124392578936,2.264419021404564,NS
FGG,-2.213703334834765,0.5227228627924675,2.7364261976272326,-1.4954220685639459,0.201408636875694,0.9999124392578936,2.213703334834765,NS
PRIMA1,-2.1820384435440143,0.795201455620089,2.977239899164103,-2.4704435257268975,0.06435346193618564,0.9999124392578936,2.1820384435440143,NS
SLC12A3,2.1768233050092096,5.396282086927657,3.2194587819184477,0.9825821667303483,0.34907110720113277,0.9999124392578936,2.1768233050092096,NS
PSPHP1,2.152583937974076,3.4191873286870114,1.266603390712935,1.286166114473896,0.22852637790129776,0.9999124392578936,2.152583937974076,NS
AL360169.3,2.1095513268534014,2.8032342530815773,0.693682926228176,3.2209590790920215,0.009300134400343886,0.9999124392578936,2.1095513268534014,NS
SPON1,-2.102392927292428,3.2967137226649883,5.3991066499574165,-2.334129242734237,0.04187552058842462,0.9999124392578936,2.102392927292428,NS
TRBC1,-2.091943492877379,2.7518235785034153,4.843767071380794,-1.7172012127227287,0.1278340332153576,0.9999124392578936,2.091943492877379,NS
NDNF,2.090616718806677,4.850408318233083,2.759791599426406,1.2951671094587087,0.22469891444279613,0.9999124392578936,2.090616718806677,NS
PTGS1,-2.062236494217001,3.066688159222598,5.128924653439599,-2.324259070509129,0.05537068033504452,0.9999124392578936,2.062236494217001,NS
NR4A1,2.055150124258059,6.469443844883238,4.414293720625179,3.034578651528646,0.013141845995643369,0.9999124392578936,2.055150124258059,NS
ASPDH,2.0528311616293577,4.227040394276465,2.1742092326471076,1.7545714041618852,0.1108749737770615,0.9999124392578936,2.0528311616293577,NS
FAM81B,-2.023455004020775,0.9322177181413733,2.9556727221621486,-2.853563422885003,0.03381332085476212,0.9999124392578936,2.023455004020775,NS
LINC01055,2.02263779625849,4.033087742188196,2.0104499459297065,1.3813700952800638,0.1980687797716388,0.9999124392578936,2.02263779625849,NS
SLC4A1,2.0159700681013275,6.414029591269982,4.398059523168654,1.1083416846729142,0.30330441763243565,0.9999124392578936,2.0159700681013275,NS
AL365357.1,2.007744524566978,3.6526864235618244,1.6449418989948463,1.737627687525807,0.12212148297162166,0.9999124392578936,2.007744524566978,NS
IGHG1,-1.9967371174350657,5.830754019366421,7.827491136801487,-1.1481278524381853,0.28710222075331293,0.9999124392578936,1.9967371174350657,NS
IGKV3-15,-1.9466583009243772,2.862171813630039,4.808830114554416,-1.203270729700827,0.27244382433238434,0.9999124392578936,1.9466583009243772,NS
FAM151A,1.9319372574196598,5.529122012433617,3.597184755013957,1.3228000745982158,0.21779834554893787,0.9999124392578936,1.9319372574196598,NS
POF1B,-1.928465112045041,1.1933053471566066,3.1217704592016475,-2.842293591556207,0.03548483453213665,0.9999124392578936,1.928465112045041,NS
IGHV1-3,-1.923013100612852,2.462407091041928,4.38542019165478,-0.8780386762793584,0.417600830664853,0.9999124392578936,1.923013100612852,NS
HLA-DQB1,-1.9229983022804014,4.8459972229951385,6.76899552527554,-1.7819646714653368,0.10605704929206486,0.9999124392578936,1.9229983022804014,NS
TMEM52B,1.9096242105323133,6.209876935786822,4.300252725254508,0.919599090899718,0.3812481154246029,0.9999124392578936,1.9096242105323133,NS
SLPI,-1.9066750143552609,4.21169100563641,6.1183660199916705,-1.0402783328981093,0.34495004818769914,0.9999124392578936,1.9066750143552609,NS
SLC22A8,1.899267450651029,4.381148246905323,2.4818807962542944,1.0420079339880857,0.32244340869509347,0.9999124392578936,1.899267450651029,NS
SLC22A2,-1.8958754332342815,5.6252132396001375,7.521088672834419,-1.953967220338566,0.09460471354838469,0.9999124392578936,1.8958754332342815,NS
ART5,1.8899880609859545,2.5847611968247994,0.6947731358388449,3.1669798082770733,0.01051887219980234,0.9999124392578936,1.8899880609859545,NS
AC113189.3,-1.8726891537989063,1.7647550903270903,3.6374442441259967,-2.2353771182320585,0.08614411749398068,0.9999124392578936,1.8726891537989063,NS
C3,-1.8708217534293077,5.070262639817473,6.941084393246781,-1.2565441870703213,0.23915192459774282,0.9999124392578936,1.8708217534293077,NS
RHCG,1.8598747610740283,6.105180680587499,4.245305919513471,0.7938056094725805,0.4471718459007943,0.9999124392578936,1.8598747610740283,NS
CD8A,-1.8485217646115986,1.82068748954221,3.6692092541538086,-1.444044352933728,0.2011928657932343,0.9999124392578936,1.8485217646115986,NS
IGHV3-64D,-1.8392128525094746,0.7989790538704897,2.6381919063799644,-2.2757359061264224,0.06710871084157032,0.9999124392578936,1.8392128525094746,NS
CYP27B1,1.83071632568539,3.572949244430029,1.742232918744639,2.02486537408705,0.07054701540396308,0.9999124392578936,1.83071632568539,NS
BEX1,1.8279293757749033,4.5667536332881244,2.738824257513221,2.453091435914933,0.06681475164977174,0.9999124392578936,1.8279293757749033,NS
IGHV1-18,-1.8215365899563305,2.8724140593604033,4.693950649316734,-1.1368291573835252,0.2949381279042783,0.9999124392578936,1.8215365899563305,NS
