gene,log2FC_good_vs_bad,mean_good,mean_bad,t_statistic,p_value,fdr,abs_log2FC,direction
SFTPC,6.698335497122459,12.348208195213472,5.649872698091013,2.758052672958667,0.01732109589378422,0.5513093049406389,6.698335497122459,NS
PSPHP1,-4.670806957019324,0.7454639948282503,5.416270951847574,-3.282971989784454,0.00696071567786951,0.5513093049406389,4.670806957019324,NS
SCGB3A2,4.611809436822012,10.826584480487572,6.2147750436655596,2.678175544355366,0.026991859195428108,0.5513093049406389,4.611809436822012,NS
CLDN18,4.4721087916041515,8.097948484649159,3.6258396930450068,2.4203523966365696,0.031656325949110005,0.5513093049406389,4.4721087916041515,NS
SFTPA1,4.45170734537006,13.91519773372139,9.46349038835133,3.183072090907872,0.011813142625161038,0.5513093049406389,4.45170734537006,NS
SFTPA2,4.447508620534858,13.92989375938812,9.482385138853262,3.0922770050920083,0.013027765888708112,0.5513093049406389,4.447508620534858,NS
AGER,4.41615190334137,9.875630784154296,5.459478880812926,2.3166204586117045,0.037565393855928934,0.5513093049406389,4.41615190334137,NS
SPP1,-4.186286268962165,3.713926258650534,7.9002125276127,-3.191901082174585,0.007956950560853554,0.5513093049406389,4.186286268962165,NS
CYP4B1,4.02425328139603,9.232595356193215,5.208342074797185,3.4217483532131885,0.009491754800328163,0.5513093049406389,4.02425328139603,NS
MS4A15,3.8730500904900658,6.177865175854456,2.3048150853643903,2.8643822613188155,0.014131092866730626,0.5513093049406389,3.8730500904900658,NS
SFTPD,3.8118786986625315,8.352366200187328,4.5404875015247965,2.7913087577175104,0.016906234509196382,0.5513093049406389,3.8118786986625315,NS
MMP1,-3.6763410982806466,2.030855376376067,5.707196474656714,-2.7862107934128875,0.019070003465595505,0.5513093049406389,3.6763410982806466,NS
IGHV1-69-2,-3.6142445321382364,2.2649652361980412,5.879209768336278,-2.484272870132178,0.02870570965275939,0.5513093049406389,3.6142445321382364,NS
PEBP4,3.5808406906466193,7.808820283131125,4.227979592484505,2.7949438184643514,0.016290897571771053,0.5513093049406389,3.5808406906466193,NS
FOSB,3.578766292409968,7.990319382281563,4.411553089871595,2.47460285062816,0.028517730005700095,0.5513093049406389,3.578766292409968,NS
GKN2,3.4750204365171307,6.376151460066705,2.901131023549574,2.3480585480889777,0.03648219850487773,0.5513093049406389,3.4750204365171307,NS
SCGB3A1,3.4395056403634214,10.357780971857714,6.918275331494293,2.373579725358199,0.042182388107428706,0.5513093049406389,3.4395056403634214,NS
SLPI,3.4384105820432787,12.594646875198288,9.15623629315501,2.7011041113625964,0.020294008026695686,0.5513093049406389,3.4384105820432787,NS
MMP12,-3.4350034201093234,1.6445696270300145,5.079573047139338,-2.9792830790281397,0.01633535658760421,0.5513093049406389,3.4350034201093234,NS
ADH1B,3.4314534550329547,6.366489888061693,2.9350364330287384,3.0647234153505147,0.01248260209528586,0.5513093049406389,3.4314534550329547,NS
PGC,3.3754476176203436,9.121888810231674,5.74644119261133,2.048919394850635,0.0625773762768145,0.5513093049406389,3.3754476176203436,NS
CYP2B7P,3.3671702547009854,7.804418152726328,4.437247898025342,3.178549018639375,0.013200824192976801,0.5513093049406389,3.3671702547009854,NS
CRTAC1,3.211661335487298,6.5561095934471165,3.3444482579598187,2.6845700427596446,0.023458492913138843,0.5513093049406389,3.211661335487298,NS
DUOX1,3.1419490925991953,6.385459950793564,3.2435108581943686,3.286093961464064,0.008792444172750082,0.5513093049406389,3.1419490925991953,NS
WIF1,3.1232475886343307,7.291392930071996,4.168145341437666,1.9556894551792352,0.07580196409289373,0.5513093049406389,3.1232475886343307,NS
INMT,3.121199628228723,7.231190632251611,4.109991004022888,2.807295332726574,0.01842341442775592,0.5513093049406389,3.121199628228723,NS
AC008268.1,3.1078252707763587,5.129560627519421,2.0217353567430623,3.0400232665335314,0.0139403270760807,0.5513093049406389,3.1078252707763587,NS
