gene,sl_n_drivers,sl_drivers,deg_cancers_up,deg_cancers_down,deg_max_log2fc,deg_min_fdr,n_approved_drugs,n_total_drugs,is_druggable,top_drugs,dep_auc,n_dependent_lines,sl_max_lineages,sl_is_universal,composite_score
FGFR1,0,,0,1,1.1068375502303054,6.462645069024679e-12,35,108,True,"INFIGRATINIB PHOSPHATE, NINTEDANIB ESYLATE, RABEPRAZOLE",0.8347717777144856,112,2,False,0.4755753777524609
PTEN,0,,0,0,0.0,1.0,64,151,True,"PANITUMUMAB, GEFITINIB, AFATINIB",0.866138314831878,12,2,False,0.4214553259327512
MYC,1,BRCA1,0,1,1.1792317981181242,1.5736338454975265e-07,29,70,True,"DIETHYLSTILBESTROL, METHYLPREDNISOLONE, OLAPARIB",0.6226244343891404,1020,0,False,0.3657164404223228
PARP1,0,,1,0,1.061008679962811,1.4956527288458417e-22,9,26,True,"NIACINAMIDE, NIRAPARIB TOSYLATE MONOHYDRATE, OLAPARIB",0.7827776570310803,10,0,False,0.3597777294790988
KRAS,0,,0,0,0.0,1.0,56,96,True,"ABEMACICLIB, BEVACIZUMAB, GEMCITABINE",0.6142333799297269,364,3,True,0.3581933519718908
CCND1,1,STK11,0,0,0.0,1.0,25,84,True,"ACETAMINOPHEN, SELADELPAR, TROGLITAZONE",0.7507137524662719,701,0,False,0.3502855009865088
ERBB2,0,,1,0,1.2311317744960322,5.569503893691529e-06,64,153,True,"TRASTUZUMAB, PERTUZUMAB, FULVESTRANT",0.6756012834472228,119,0,False,0.3369071800455558
BCL2,0,,0,0,0.0,1.0,32,82,True,"OXALIPLATIN, POLATUZUMAB VEDOTIN, METHYLPREDNISOLONE",0.8271090047393365,26,0,False,0.3308436018957346
EGFR,0,,0,1,2.7869553055620484,7.1213615630993395e-37,60,192,True,"ERLOTINIB, LAPATINIB, DACOMITINIB ANHYDROUS",0.6511977197240155,192,0,False,0.32714575455627287
ATR,0,,0,0,0.0,1.0,11,32,True,"TEMOZOLOMIDE, TALAZOPARIB, CISPLATIN",0.8070103831006087,1047,0,False,0.3228041532402435
PDGFRA,0,,0,1,1.4781936625751726,4.6987662025126095e-18,23,61,True,"IMATINIB, DASATINIB ANHYDROUS, RIPRETINIB",0.6328285563830587,30,0,False,0.31979808921989017
MET,0,,0,1,2.1072024336838493,3.9085119190246846e-25,21,104,True,"CABOZANTINIB S-MALATE, CAPMATINIB, CRIZOTINIB",0.6071018510238755,25,0,False,0.3095074070762169
TP53,2,"BRAF, BRCA2",0,0,0.0,1.0,152,452,True,"VEMURAFENIB, PACLITAXEL, ERLOTINIB",0.5,0,0,False,0.30000000000000004
CDS2,3,"PIK3CA, EGFR, ERBB2",0,0,0.0,1.0,0,0,False,,0.5,0,4,True,0.3
