gene_a,gene_b,codependency_corr,codependency_pval,co_essential_jaccard,both_essential_count,conditional_effect,n_cell_lines
KRAS,POLG,-0.2072022815030625,5.373214505806645e-12,0.06792452830188679,36,0.09941166589277456,1086
KRAS,TUBB,-0.18619369558239227,6.28943055389942e-10,0.32098765432098764,338,0.14795107043859246,1086
KRAS,HSD17B10,-0.17805010299473212,3.760042420346218e-09,0.15529753265602322,107,0.09919477658111464,1081
KRAS,LARS2,-0.16352924935346233,5.981909108381146e-08,0.12363067292644757,79,0.09485314766708491,1086
KRAS,MTG2,-0.1972192264085865,5.5168452523928154e-11,0.17737430167597765,127,0.091032380090107,1086
KRAS,RPP21,-0.19603849615445762,7.209087179385769e-11,0.3251184834123223,343,0.10067734162280373,1086
KRAS,UBE2N,-0.11157612577735279,0.00022941145755535976,0.3027613412228797,307,0.09053512550054488,1086
KRAS,MARS2,-0.18164962559670558,1.6445668587680424e-09,0.2679372197309417,239,0.10460109201013867,1086
KRAS,MTPAP,-0.18423133022701565,9.553806360331545e-10,0.24501758499413834,209,0.08834308325548923,1086
KRAS,CIAO1,-0.18697495023411048,5.318370304943765e-10,0.3233082706766917,344,0.09650236928417932,1086
KRAS,TWNK,-0.14558361223185984,1.4514861794053226e-06,0.14918032786885246,91,0.061704691298777536,1086
KRAS,HNRNPH1,-0.21068928789970442,2.3152647252680746e-12,0.28428428428428426,284,0.14537010077993584,1086
KRAS,MRPL43,-0.18070541439849505,2.002032434058733e-09,0.2581005586592179,231,0.0750026212452426,1086
KRAS,MRPL20,-0.20292097834307787,1.4804499407268077e-11,0.14396284829721362,93,0.09343911877969202,1086
KRAS,MRPL17,-0.2018922110555626,1.8824698005482857e-11,0.17264276228419656,130,0.0971887652243279,1086
KRAS,MRPL23,-0.16297981993834665,6.631281364514569e-08,0.16486902927580893,107,0.08005855141885809,1086
KRAS,NELFB,-0.17633664313676645,4.9069487831695686e-09,0.3242224316682375,344,0.10458241382580424,1086
BRAF,GRB2,-0.2895870865505336,2.0018301863386803e-22,0.010062893081761006,8,0.5706934291530418,1086
BRAF,PTPN11,-0.2849800596269159,9.713600388912659e-22,0.007290400972053463,6,0.4479277916048012,1086
BRAF,TP53,-0.19266683590715206,1.533522684160304e-10,0.0,0,0.311837404265483,1086
BRAF,NAA10,-0.1930056600639107,1.567443154767966e-10,0.053501945525291826,55,0.30536031098068406,1081
BRAF,TUBG1,-0.19248383562855811,1.5970342144149592e-10,0.06361085126286249,68,0.25718784477269474,1086
BRAF,GPX4,-0.0832098715324401,0.006074320127031073,0.046153846153846156,33,0.233710907084059,1086
BRAF,POLR3B,-0.21784092206629946,3.9311812495291227e-13,0.07004608294930875,76,0.22503865859640904,1086
BRAF,PPP1R15B,-0.15091057201558167,5.850251510387057e-07,0.034528552456839307,26,0.24559078592034495,1086
BRAF,MYH9,-0.14584378170318954,1.3895025622222542e-06,0.028409090909090908,15,0.22840035515861878,1086
BRAF,CNOT1,-0.21590601537373544,6.39087567940077e-13,0.04369538077403246,35,0.22228520041195193,1086
BRAF,RTF2,-0.16625476650039475,3.569396258642565e-08,0.06797020484171322,73,0.2053384458011842,1086
BRAF,CDKN1A,-0.2227245675435535,1.1296571069306999e-13,0.0,0,0.20541597502286107,1086
BRAF,CFL1,-0.11682408726773792,0.00011400721093998418,0.04028776978417266,28,0.2146667283807948,1086
PIK3CA,CDS2,-0.2975612335434879,1.2128808580239679e-23,0.07360861759425494,41,0.13480756415511738,1086
PIK3CA,CDIPT,-0.17696960872966563,4.315198886315866e-09,0.23348519362186787,205,0.12364868491985304,1086
PIK3CA,ITGAV,-0.16099748089421795,9.590430409055603e-08,0.14527503526093088,103,0.18880406669313787,1086
EGFR,CHMP4B,-0.270448046690997,1.1706643102330584e-19,0.13005464480874318,119,0.27735966332409545,1086
EGFR,CDAN1,-0.30346865743859036,1.4345492265837967e-24,0.10194174757281553,84,0.28377309205830537,1086
EGFR,GPX4,-0.20293180488309306,1.476701742675552e-11,0.11182519280205655,87,0.20695566513157448,1086
EGFR,CDS2,-0.36628791614711503,8.078004418386718e-36,0.011160714285714286,5,0.2117071022715025,1086
EGFR,EP300,-0.26677946912213457,3.7515868078487e-19,0.045454545454545456,19,0.19124831249384272,1086
EGFR,SEPHS2,-0.23313204674830018,7.174272647425698e-15,0.10161290322580645,63,0.18164084053592228,1086
EGFR,SEPSECS,-0.2369239222768495,2.5404022467247564e-15,0.06782608695652174,39,0.17944474887559386,1086
EGFR,ORC6,-0.24319049097212359,4.3891746963602254e-16,0.17744916820702403,192,0.15433322089485535,1086
EGFR,HNRNPH1,-0.23699888617276696,2.488336714400345e-15,0.1440329218106996,140,0.16079843343248956,1086
EGFR,EEFSEC,-0.22710444704849342,3.5999863521104535e-14,0.08878504672897196,57,0.1631338448755566,1086
ERBB2,CHMP4B,-0.17333965221248707,8.960280276151677e-09,0.08597285067873303,76,0.21117814343857,1086
ERBB2,SEPHS2,-0.18981819044452494,2.8712689432171215e-10,0.044596912521440824,26,0.21958401759419888,1086
ERBB2,GAPDH,-0.23460333885109783,4.805854776159095e-15,0.10624417520969245,114,0.18565713133182316,1086
ERBB2,GPX4,-0.1479679520423544,9.702451469306166e-07,0.06317204301075269,47,0.21528925881848815,1086
ERBB2,CDS2,-0.27274497292429045,5.594608633572284e-20,0.01881720430107527,7,0.17768208941963126,1086
ERBB2,GGPS1,-0.18328946782047245,1.1657956624936891e-09,0.0979020979020979,98,0.15535858690282423,1086
ERBB2,GABPB1,-0.20792536708550818,4.51795629420994e-12,0.06906474820143885,48,0.14815835957010975,1086
ERBB2,ATP6V1B2,-0.15768992693828576,1.7574088557772874e-07,0.1064030131826742,113,0.20277599825987802,1086
ERBB2,NHLRC2,-0.14568082101445187,1.428022375197301e-06,0.0761904761904762,56,0.17756017876401714,1086
MYC,MYCN,-0.32376392955801103,6.387879010829852e-28,0.004770992366412214,5,0.33151953841184384,1086
MYC,IRS2,0.00987019597316958,0.7452561205375299,0.16049382716049382,169,0.26322579630982185,1086
MYC,NXT1,-0.07603470231639305,0.012195718220975385,0.31479736098020733,334,0.2888243042025154,1086
MYC,PPP1R15B,0.057400548790528305,0.05862594428059958,0.6089385474860335,654,0.1343376054719715,1086
MYC,DTYMK,0.10857327217248548,0.00033777651174302846,0.8698060941828255,942,0.09971543935452742,1086
MYC,EP300,0.002276000568601244,0.9402797854151361,0.21203438395415472,222,0.2014199730640946,1086
MYC,LDB1,-0.08714447783326634,0.004053531328336121,0.08476190476190476,89,0.23170456729205977,1086
MYC,ORC6,-0.027872994490994164,0.3587961279193507,0.9392265193370166,1020,0.17206469838414873,1086
MYC,TADA2B,0.12664078614828397,2.8461262202145694e-05,0.12692307692307692,132,0.11014296540780291,1086
MYC,MBD3,-0.1389257448677738,4.322133242705552e-06,0.012584704743465635,13,0.14939047947728612,1086
MYC,KIF14,-0.15254400140775512,4.399379238534837e-07,0.5762081784386617,620,0.20537050437820592,1086
MYC,EED,0.019174010557677007,0.5279094024254471,0.1864244741873805,195,0.12786549746604858,1086
MYC,SDHC,0.040332267795776984,0.18413184552368103,0.8649398704902868,935,0.08508977762815406,1086
MYC,FIP1L1,0.06800642698249106,0.025017475658358015,0.9281767955801105,1008,0.15262969044412222,1086
MYC,SDHD,0.12494067744611145,3.6465231924450785e-05,0.7158774373259053,771,0.10972649115444488,1086
MYC,SUPT20H,0.12355013593085812,4.455449883456243e-05,0.13500482160077146,140,0.07123548433332155,1086
MYC,RBM39,0.05119252198584777,0.09175968315944626,0.9429097605893186,1024,0.12230875533917729,1086
MYC,SNRNP70,-0.19523674975152153,8.637012933142997e-11,0.9438305709023941,1025,0.16034269607504825,1086
MYC,CHAF1B,-0.007229740751241725,0.8118955774817641,0.9401473296500921,1021,0.09294355093110518,1086
MYC,PSMC2,0.0056723618630457615,0.8518831864037303,0.9401473296500921,1021,0.09095549287962634,1086
APC,GGPS1,-0.14471877873489147,1.6771839137321835e-06,0.12015888778550149,121,0.21763633010451555,1086
VHL,CFLAR,-0.19141538202477254,2.0224027943570708e-10,0.3878968253968254,391,0.16929818727569634,1086
VHL,ITGAV,-0.1669390408339239,3.131225232710496e-08,0.37213930348258706,374,0.20338098014131978,1086
VHL,ALG11,-0.29031137950279307,1.5574842599952402e-22,0.834870848708487,905,0.1481290277076499,1086
VHL,CDC42,-0.18006941698141482,2.2842955320907013e-09,0.7912801484230055,853,0.1585926328002325,1086
VHL,SGO1,-0.187449063990899,4.802050062758462e-10,0.8020446096654275,863,0.1303459071079036,1086
VHL,FERMT2,-0.021987819431238797,0.4691572457224164,0.3582995951417004,354,0.08841843353318624,1086
VHL,TUBB,0.01508841261852962,0.6194098218820073,0.7972093023255814,857,0.04202120465465886,1086
VHL,PSMD11,-0.2597081058968436,3.3666478259108246e-18,0.8305709023941068,902,0.14026123343588015,1086
VHL,COPZ1,-0.28925625117670706,2.244458192357927e-22,0.8314917127071824,903,0.1479444927628717,1086
VHL,GOSR2,-0.24172752467588543,6.642705079671647e-16,0.7453358208955224,799,0.13333505032816795,1086
VHL,TRAPPC11,-0.2647303127602776,7.134041052913807e-19,0.8232044198895028,894,0.14532245471527427,1086
VHL,PAX8,-0.13507377625657568,7.945435321630498e-06,0.05189189189189189,48,0.0867751176333447,1086
VHL,GPX4,-0.04835233820238996,0.11126694740619839,0.5370370370370371,551,0.09189975570960063,1086
VHL,XPO1,-0.25540611878814473,1.2386495571043243e-17,0.8341013824884793,905,0.1314661352173132,1086
VHL,TMED10,-0.19811709013850587,4.496264967169881e-11,0.5029296875,515,0.13517076188320465,1086
VHL,MOB4,-0.2291839746406235,2.0742302235252737e-14,0.7847866419294991,846,0.17162754197356533,1086
VHL,COPB2,-0.295558783319457,2.4729707332205734e-23,0.8324125230202578,904,0.15492253499036224,1086
