gene,family,mean_effect,median_effect,essential_fraction,strongly_essential,std_effect,n_cell_lines
KAT8,HAT,-1.655143666490545,-1.6759434751972984,0.9990791896869244,0.992633517495396,0.23630515078268144,1086
ACTL6A,SWI_SNF,-1.4977969562116096,-1.5349265346709435,0.9861878453038674,0.934622467771639,0.3113552467227782,1086
RBBP4,PRC2,-1.327661285420923,-1.337876378908607,0.998158379373849,0.8812154696132597,0.28871614226353426,1086
BRD4,BET,-1.0121325827308718,-1.0471695878631992,0.932780847145488,0.5580110497237569,0.3080728534500772,1086
SETD1A,KMT,-0.9589933508699822,-0.9499295657451434,0.9659300184162063,0.4116022099447514,0.2574626353160538,1086
SMARCE1,SWI_SNF,-0.9479313467197779,-0.9740945064217537,0.9097605893186004,0.4585635359116022,0.31126440997682514,1086
HDAC3,HDAC,-0.8486588362836722,-0.854762723365031,0.8904235727440147,0.2826887661141805,0.2825580866955798,1086
SMARCB1,SWI_SNF,-0.7452565779694562,-0.7765152734720446,0.7845303867403315,0.2283609576427256,0.34151124915093506,1086
DNMT1,DNMT,-0.6400878061942876,-0.6361332709738385,0.7596685082872928,0.05064456721915286,0.21146245254861604,1086
KDM2A,KDM,-0.5925702462756766,-0.5675230966079762,0.6058931860036832,0.06906077348066299,0.2756994918985324,1086
EHMT2,KMT,-0.4491721717698295,-0.4445830703029735,0.36095764272559855,0.001841620626151013,0.17751287763813106,1086
DPF2,SWI_SNF,-0.3919072117071161,-0.37515046647918243,0.285451197053407,0.008287292817679558,0.21670985368248938,1086
KMT2D,KMT,-0.3646205277332056,-0.3349340091498946,0.2605893186003683,0.013812154696132596,0.24874313700113307,1086
KAT7,HAT,-0.3610360811283551,-0.3553005596574246,0.2311233885819521,0.004604051565377533,0.2057151371901217,1086
BRD2,BET,-0.35590638651514556,-0.33836733069127695,0.26979742173112337,0.01289134438305709,0.2684326243960764,1086
SUZ12,PRC2,-0.344653063744013,-0.3363694365215282,0.2265193370165746,0.010128913443830571,0.23114652066769484,1086
ARID2,SWI_SNF,-0.33311318455666705,-0.3244712842507985,0.19337016574585636,0.001841620626151013,0.20617124708274046,1086
SETD2,KMT,-0.33022075824965025,-0.3276801991509814,0.16298342541436464,0.0,0.17741329116486726,1086
KAT2A,HAT,-0.3106259633636598,-0.30885310822072487,0.12062615101289134,0.0009208103130755065,0.17529898763444998,1086
BRD7,SWI_SNF,-0.2923274951251707,-0.28175372283821504,0.09300184162062615,0.0,0.1597222602658805,1086
SMARCA4,SWI_SNF,-0.28410058891449297,-0.25979919732096285,0.20994475138121546,0.011049723756906077,0.2673814672074497,1086
EED,PRC2,-0.26784239476023014,-0.23574774776694973,0.19889502762430938,0.008287292817679558,0.2740669407838718,1086
EP300,HAT,-0.26518271133367743,-0.22851134298510994,0.22467771639042358,0.03867403314917127,0.3683175549743933,1086
KMT2B,KMT,-0.2539726466081329,-0.2497110566622249,0.0570902394106814,0.0,0.15121887622319372,1086
ARID1A,SWI_SNF,-0.24352749101390578,-0.22692987810724552,0.1279926335174954,0.0027624309392265192,0.2178634163876627,1086
SMARCD1,SWI_SNF,-0.22103147676380958,-0.20421372608065447,0.12062615101289134,0.004604051565377533,0.2417720606947626,1086
SETD1B,KMT,-0.21187093395348752,-0.20190799856011385,0.08379373848987108,0.0,0.2022960774521586,1086
KMT2A,KMT,-0.20518878731561616,-0.18567406080736484,0.06998158379373849,0.0009208103130755065,0.1839417124919352,1086
PCGF2,PRC1,-0.19087857728945942,-0.18362205035809837,0.01289134438305709,0.0009208103130755065,0.11525242983673623,1086
SMARCC1,SWI_SNF,-0.1777873225247722,-0.16635837396003986,0.03683241252302026,0.0,0.15105206601080248,1086
RING1,PRC1,-0.1754750978804601,-0.156832712463958,0.024861878453038673,0.001841620626151013,0.14858359846444258,1086
HDAC7,HDAC,-0.14517498552998515,-0.1327060915722647,0.02302025782688766,0.0009208103130755065,0.1497538960810429,1086
HDAC1,HDAC,-0.1450878473074485,-0.1276627599094795,0.027624309392265192,0.008287292817679558,0.17263352002085566,1086
