gene,hr,coef,p_value,concordance
BRAF,1.9942535523867353,0.6902698211221625,0.0008464697393862534,0.6606606606606606
KIF14,1.5878591829224717,0.46238668315150144,0.005575024184998819,0.6606606606606606
CDK6,1.618770993000408,0.48166721503051935,0.006505829179625406,0.6096096096096096
BRCA1,1.518876731030975,0.41797106892567,0.007724607674724232,0.6396396396396397
BRCA2,1.4811184627374432,0.3927975204307507,0.012078914688343793,0.6426426426426426
ORC6,1.5809487405413734,0.45802513552675544,0.014042965815626446,0.5780780780780781
BCL2,1.6199239824171663,0.48237922370945907,0.014836593471507013,0.5840840840840841
GINS4,1.5203848528672628,0.41896349548615963,0.015560964166573002,0.6426426426426426
CHAF1B,1.5248260620385223,0.4218803458746456,0.021804107894484198,0.6186186186186187
GPX4,0.6134388509641143,-0.4886746922289292,0.031483707583692705,0.6411411411411412
SGO1,1.3104773214979435,0.27039143840300495,0.040718376699562346,0.6531531531531531
MAD2L1,1.2904876289595193,0.2550201538923184,0.07188240009252443,0.6141141141141141
TTK,1.2264533544624399,0.20412655257243578,0.10080702024596642,0.6501501501501501
MYC,1.3275817175160667,0.2833590296902724,0.10974587335627042,0.5825825825825826
ACSL4,1.335108026037127,0.2890122069583679,0.1374200251732088,0.53003003003003
DHODH,1.3317592980529616,0.28650084862124364,0.14614717478376568,0.56006006006006
SLC7A11,1.2606217392677048,0.23160504312325556,0.14746840401674646,0.5690690690690691
LAG3,1.2374111492960649,0.21302141433443467,0.1636774495467349,0.5630630630630631
EGFR,1.2126527033819967,0.19281027683321322,0.21162108970563492,0.5705705705705706
TP53,1.3114848321218888,0.2711599549677022,0.2286838878892401,0.5255255255255256
MDM2,0.8243540379381611,-0.19315518365715784,0.2686373157124389,0.5405405405405406
PTEN,1.2162933154896336,0.1958079678527818,0.28653256810447747,0.551051051051051
ERBB2,0.7916532639074506,-0.23363178112593086,0.2940325303263158,0.5915915915915916
NFE2L2,1.1914705130903187,0.17518826952933772,0.30282624501040256,0.53003003003003
CCND1,1.1839032946479322,0.1688168563084563,0.32242677025300537,0.5495495495495496
STK11,1.1564032011723289,0.14531449937857527,0.41901873880252016,0.5015015015015015
TUBG1,1.1256712561622366,0.11837952986254693,0.43418882470614595,0.5435435435435435
CDS2,0.8828567249122611,-0.12459235098617753,0.46809798017640136,0.5330330330330331
GCLM,1.1536697811891257,0.1429479756542003,0.509592171815609,0.503003003003003
FGFR1,0.9126511163085945,-0.09140160032327338,0.5691051370512793,0.493993993993994
GCLC,1.1173049771277022,0.11091951516402788,0.5705570280077039,0.5285285285285285
CD274,1.1030493555757248,0.09807848593909789,0.5765960238308523,0.5345345345345346
PSMA4,0.926491044433775,-0.0763508993220304,0.6433801616223331,0.4444444444444444
CHMP4B,0.9326799636197809,-0.06969315560745609,0.6745799063378313,0.5375375375375375
HAVCR2,1.045154457001348,0.04416468023749852,0.7590633582303967,0.5375375375375375
PDCD1,0.9806207451762761,-0.019569494393965152,0.8954949914266985,0.5195195195195195
