driver_gene,target_gene,mean_effect_mutated,mean_effect_wildtype,delta_effect,t_statistic,p_value,cohens_d,n_mutated,n_wildtype,fdr
KRAS,POLG,-0.48118198258053746,-0.23952468146911937,-0.2416573011114181,-8.162942716811092,1.4692518174666784e-13,-0.9636446211491743,114,364,6.385735711664551e-10
KRAS,TUBB,-1.5150406576018485,-1.2737468868757829,-0.24129377072606562,-5.141732844761308,6.162877207910399e-07,-0.5327885330489299,114,364,6.0531988847187734e-05
KRAS,HSD17B10,-0.6250681566611973,-0.3905974523449733,-0.23447070431622402,-7.264666807379803,1.4954966917070153e-11,-0.8213822887560392,114,364,1.8570864275233186e-08
KRAS,LARS2,-0.5678246514043629,-0.33644921542237355,-0.23137543598198934,-7.714341582509119,1.2256223272203675e-12,-0.8757488280336698,114,364,3.043920594103727e-09
KRAS,MTG2,-0.6561865723428011,-0.42704563834812387,-0.22914093399467722,-8.201204270362352,5.2595632134922947e-14,-0.9070338567951439,114,364,3.2296181020654166e-10
KRAS,RPP21,-1.384186421903911,-1.1620896373607026,-0.22209678454320847,-6.779265386967476,1.0081695607858581e-10,-0.6874071437397609,114,364,6.491491783060053e-08
KRAS,UBE2N,-1.130479683164603,-0.913888699676749,-0.21659098348785388,-5.916558879879979,1.2955155549089016e-08,-0.612547256359269,114,364,2.649710343775442e-06
KRAS,MARS2,-0.8681565130586388,-0.6551477681524879,-0.21300874490615096,-5.776389882874708,3.360427856915661e-08,-0.6329511467171216,114,364,5.7275527737724285e-06
KRAS,MTPAP,-0.7803220310639879,-0.5706213894317518,-0.20970064163223612,-6.387232188497284,1.4010944765423396e-09,-0.6966398752078384,114,364,5.234852599577077e-07
KRAS,CIAO1,-1.3042277889656033,-1.0947645425056227,-0.2094632464599806,-6.848740818518136,7.040605414768359e-11,-0.6986352728003528,114,364,5.5636784152612693e-08
KRAS,TWNK,-0.5574776240743835,-0.34805283149150096,-0.20942479258288255,-7.050628016712735,5.113393801519985e-11,-0.8017526651887603,114,364,4.678755328390786e-08
KRAS,HNRNPH1,-1.0216222933138,-0.8161061612822386,-0.20551613203156138,-4.9314895721333425,1.782695092393154e-06,-0.5295435053804587,114,364,0.00014391069960223115
KRAS,MRPL43,-0.805518603995306,-0.6003962125004297,-0.2051223914948762,-6.7465599162246574,2.363300814480998e-10,-0.7539562423331315,114,364,1.1738852759929188e-07
KRAS,MRPL20,-0.5666130161662501,-0.36182142973253667,-0.20479158643371348,-7.409533338510711,5.195538492803466e-12,-0.8156802769734965,114,364,1.0036048521932027e-08
KRAS,MRPL17,-0.6299096544106192,-0.4258743658982938,-0.20403528851232539,-7.393027337493172,4.043199812380994e-12,-0.7841527775289864,114,364,8.786378592280448e-09
KRAS,MRPL23,-0.5815283144226177,-0.37918019318829543,-0.20234812123432222,-6.575043710973849,6.780709620249511e-10,-0.7507234512030937,114,364,2.875186262147262e-07
KRAS,NELFB,-1.2807388821230148,-1.0804129294236342,-0.20032595269938058,-6.00946214724066,8.436392014980624e-09,-0.630148524527147,114,364,1.981982097032948e-06
BRAF,GRB2,-0.8109065869143328,-0.2211620815281177,-0.5897445053862151,-15.587010553440996,3.713561528103474e-29,-1.540914997486253,885,76,6.45602671660789e-25
BRAF,PTPN11,-0.7459923893087431,-0.28876760362442994,-0.4572247856843132,-15.188927075621203,6.814224427348244e-28,-1.5556835623586618,885,76,5.923264583472462e-24
BRAF,TP53,0.26006757918376894,0.5754004603977089,-0.31533288121393993,-5.463009302186062,4.774065829913984e-07,-0.7148303305869835,885,76,0.00012387632007918598
BRAF,NAA10,-1.2826855700792468,-0.9728571801133107,-0.3098283899659361,-4.460315596812312,2.680686430399387e-05,-0.6290247691983727,882,75,0.0018791828061489252
BRAF,TUBG1,-1.2830969769760183,-1.0222925923290191,-0.2608043846469992,-5.27784972224374,9.978786861120275e-07,-0.6746607739492506,885,76,0.00018831505474087862
BRAF,GPX4,-0.7132256470799779,-0.4720519746924437,-0.24117367238753423,-4.013200547664155,0.00012524935872310785,-0.48022664907499096,885,76,0.005304347926411636
BRAF,POLR3B,-1.710967686138103,-1.4698345333213874,-0.24113315281671555,-4.888458568337871,4.860477730997845e-06,-0.6359880583702168,885,76,0.0005559171404828785
BRAF,PPP1R15B,-0.6694856375229847,-0.4301949843124991,-0.23929065321048565,-6.610504722573506,2.362822272235618e-09,-0.7398543443284664,885,76,1.579910200108316e-06
BRAF,MYH9,-0.48675186120770875,-0.2607117736144878,-0.22604008759322097,-5.160570504493211,1.4944328369641206e-06,-0.6152969059111126,885,76,0.00024281041935160033
BRAF,CNOT1,-0.668388719089625,-0.4447508946804131,-0.22363782440921193,-5.805491312459293,1.0643360033499948e-07,-0.7269505424183234,885,76,3.9369109400509914e-05
BRAF,RTF2,-1.3026474021738892,-1.0922050676484443,-0.21044233452544492,-4.8134077327577955,6.396981250327155e-06,-0.6104048454375387,885,76,0.0006699489098610698
BRAF,CDKN1A,0.14317922512325854,0.3473426646905628,-0.20416343956730426,-4.823564274689136,6.696782977513897e-06,-0.6873543911252947,885,76,0.0006971471381082581
BRAF,CFL1,-0.6695008449192347,-0.46550083704212186,-0.2040000078771128,-4.913336922963523,3.887971315407152e-06,-0.5594153769961722,885,76,0.00048602009746750123
PIK3CA,CDS2,-0.44140586487766487,-0.21725023266615687,-0.224155632211508,-10.931711988051811,3.9431736344065065e-25,-0.8879087354938107,288,338,3.427603681707856e-21
PIK3CA,CDIPT,-0.825600851336318,-0.6102997699039819,-0.21530108143233606,-7.93949484757393,1.0512889989821856e-14,-0.6394856867179963,288,338,1.6615144770277544e-11
PIK3CA,ITGAV,-0.6372059346955964,-0.43550379322120514,-0.20170214147439125,-5.352187947972582,1.31579780662334e-07,-0.4346855672525625,288,338,1.030411930997602e-05
EGFR,CHMP4B,-1.0609519510894965,-0.7205500572115952,-0.3404018938779013,-9.244044588377488,2.6551553685768688e-18,-0.7406491135769669,644,193,2.00695113403082e-15
