gene,log2FC,mean_tumor,mean_normal,t_statistic,p_value,n_tumor,n_normal,fdr,abs_log2FC,regulation
FABP4,-5.731342661266039,5.078418050048613,10.809760711314652,-15.0461137570712,5.3737749222905946e-30,100,50,5.585969247121322e-28,5.731342661266039,DOWN
COL10A1,5.540683931274036,6.388808530259305,0.8481245989852692,25.676945621972024,4.983221908666405e-51,100,50,3.2435791403509626e-47,5.540683931274036,UP
LEP,-5.42414433451098,1.3351290427750075,6.759273377285988,-12.467274186458825,7.617765816436258e-19,100,50,1.3161830524462722e-17,5.42414433451098,DOWN
MMP11,5.383780927669278,7.50123673017287,2.117455802503592,25.704058347097554,5.9688984267992584e-55,100,50,1.1655467958010911e-50,5.383780927669278,UP
PLIN1,-5.374367041172759,3.155601653351732,8.529968694524491,-13.40512800446735,1.0812122108489832e-22,100,50,3.351242990674301e-21,5.374367041172759,DOWN
CIDEC,-5.347826710910539,2.1953326186107147,7.543159329521253,-13.743225263760932,4.4252691087986166e-23,100,50,1.445020566680779e-21,5.347826710910539,DOWN
GPD1,-5.337025635181941,2.572570424074684,7.909596059256625,-14.516157389260204,3.151107028447041e-25,100,50,1.4145210791835717e-23,5.337025635181941,DOWN
ADIPOQ,-5.201862683024493,2.5366158862072608,7.738478569231754,-12.472553154237454,3.3909500531966245e-21,100,50,8.308040362455519e-20,5.201862683024493,DOWN
ADH1B,-5.169558131540656,2.2096633438999347,7.379221475440591,-16.011391877777676,2.0451786894834576e-29,100,50,1.948107525343584e-27,5.169558131540656,DOWN
PLIN4,-5.167175359464132,3.4001187991435007,8.567294158607632,-12.949139688951076,1.5937261971564888e-22,100,50,4.86260803935543e-21,5.167175359464132,DOWN
TRARG1,-4.936727201507274,1.7514149875854224,6.688142189092696,-13.088383300609403,1.850648412194112e-21,100,50,4.723870790184892e-20,4.936727201507274,DOWN
RBP4,-4.882098306974818,2.8167998588482543,7.698898165823072,-13.003048520037638,2.121678075648603e-21,100,50,5.366581319066097e-20,4.882098306974818,DOWN
SCARA5,-4.785215296877553,1.1273808220428818,5.912596118920434,-25.035863869149804,1.7435705340960702e-46,100,50,5.67445030321566e-43,4.785215296877553,DOWN
VEGFD,-4.714159889952978,0.9012310640320136,5.615390953984992,-28.316479628609187,1.5679680280664872e-45,100,50,4.373958812007757e-42,4.714159889952978,DOWN
SAA1,-4.634757941733875,5.905382886172033,10.540140827905908,-13.568259263457865,9.22380253239163e-26,100,50,4.514115088972715e-24,4.634757941733875,DOWN
CHRDL1,-4.583130424499085,3.0167286523665844,7.59985907686567,-17.373269373276578,4.443002288704619e-34,100,50,1.0829610716749907e-31,4.583130424499085,DOWN
SFRP1,-4.54461641232882,4.767782595932032,9.312399008260853,-14.00186659565364,6.686710375697978e-29,100,50,5.652441277327031e-27,4.54461641232882,DOWN
