pathway,pathway_size,n_up_in_pathway,up_genes,p_up,n_down_in_pathway,down_genes,p_down
Cell_Cycle,24,15,"AURKA, AURKB, BUB1, CCNA2, CCNB1, CCNE1, CDK1, CDKN2A, E2F1, KIF11, MAD2L1, MCM2, PCNA, PLK1, TOP2A",1.8650324524760198e-14,1,MYC,0.8897366075382107
DNA_Repair,21,5,"CHEK1, FANCA, FANCD2, PARP1, RAD51",0.0030051876173612466,0,,1.0
EMT,15,4,"CDH1, CDH2, FN1, MMP9",0.005145771213456474,4,"ACTA2, TWIST1, VIM, ZEB2",0.03674726682207282
Apoptosis,16,2,"BAX, BIRC5",0.18461065690444445,0,,1.0
Metabolism,20,2,"IDH2, SLC2A1",0.2582179251912339,0,,1.0
RAS_MAPK,16,1,ERBB2,0.5541519231359788,2,"DUSP6, EGFR",0.41579126168069414
Immune_Response,17,1,FOXP3,0.5761118432767359,1,IL6,0.7901786690070486
Epigenetics,19,1,EZH2,0.6168431510215424,0,,1.0
Angiogenesis,14,0,,1.0,6,"ANGPT1, EPAS1, FGF2, KDR, PDGFA, TEK",0.0007307956207070703
PI3K_AKT_mTOR,17,0,,1.0,2,"IRS2, PIK3R1",0.44687003995627095
Proteasome,11,0,,1.0,0,,1.0
Mitochondria,16,0,,1.0,0,,1.0
