gene,mean_tpm,std_tpm,cv
FP236383.2,1.8913929999999999,18.91393,10.000000000000002
FP671120.3,9.163934000000001,91.63934000000002,10.0
RNA5-8SP5,5.5285400000000005,55.2854,10.0
FP236383.1,11.72131,117.2131,9.999999999999998
RNA5-8SP6,57.709146000000004,576.1098151521654,9.98298978730625
FP236383.5,3.569292,35.493604491609524,9.944158250882674
RNU1-52P,1.494349,14.858708645342324,9.94326535858914
CNMD,17.873202999999997,177.53800417863727,9.93319463660975
CARTPT,836.8102020000001,8301.522908070627,9.920437021716216
RPS4Y1,3.993289,39.53439717287983,9.900209369489618
AC092447.7,2.165881,21.396945103886353,9.879095436862114
NTS,53.405521,527.4209314919307,9.875775418274277
AC000061.1,2.0667039999999997,20.356527343395488,9.849754654462124
RNU6-518P,1.073854,10.565258549580262,9.838635931495586
RPL37P4,1.6164459999999996,15.90294543958534,9.83821633360183
KRT20,4.516452999999999,44.38628065667615,9.82768572078048
BPIFB3,1.1231900000000001,10.970844793493768,9.767576984743247
SCARNA7,34.641338999999995,335.926816714744,9.69728152583086
AC092423.1,1.015257,9.84200910533751,9.69410612814047
AP002439.1,1.7022659999999998,16.488274099598137,9.686073797865985
MIR3609,23.201862000000002,224.36094296250587,9.669954202921552
AC108861.1,4.022322,38.87503779658063,9.664824893825166
RN7SKP255,2.49534,24.11247382059101,9.663001362776619
CD177P1,4.48263,43.21424967046066,9.64037845426918
AC109630.1,1.500136,14.460813119673638,9.639668083209548
THSD4-AS1,2.6851559999999997,25.881119155251913,9.638590515877631
BTF3P1,1.261795,12.157184120214806,9.634833011871823
MIR5195,32.33997,310.8231016852049,9.611112863902004
RNU6-954P,2.358287,22.645177313840666,9.6023839820347
BCHE,35.91320499999999,344.53940855691235,9.593669196522907
AC064799.2,8.733588,83.78356641995447,9.593258397345338
AC010359.1,1.4335740000000001,13.744824844514676,9.587802823233872
RPL26P26,1.765649,16.868538900469883,9.553732876959057
LINC00668,1.3057250000000002,12.473920295952382,9.553252251394728
RPL37P18,1.113839,10.620737819648697,9.535254035501268
NPY,12.559917,119.71790132026663,9.53174302985176
GLYATL1P4,3.869493,36.84265758587937,9.52131392559164
RNU1-11P,1.400133,13.330424397785002,9.520827234116332
RPL17P17,1.0230709999999998,9.739713447481373,9.520075779179914
SULT1C3,21.310923,202.66757812751672,9.510032865658458
AL354949.1,2.6797830000000005,25.478519545458177,9.507680116434118
MIR5739,1.298955,12.346314848220455,9.504805669342243
DMBT1,9.76452,92.79919035746818,9.50371245667664
ISX,1.0891089999999999,10.347977805125632,9.501324298234275
TGM4,1.0881260000000001,10.336129817790907,9.499019247578778
AL928646.1,3.5532120000000003,33.74760213900211,9.497773321434835
SYT4,1.212935,11.511927986411234,9.490968589752322
AC103706.2,2.745794,26.05829572369613,9.490258819014146
RNU6-1188P,2.0622409999999998,19.56785324319691,9.488635539297741
MIR3139,1.261334,11.955422956885476,9.478395854615412
AL732406.1,2.635212999999999,24.95667955988697,9.470460095592646
MIR4320,1.199181,11.345964040326534,9.461427457845424
AC106827.1,1.382535,13.077234771756274,9.458881526873657
RNU6-617P,7.821721999999999,73.97906780363253,9.45815612005036
MIR3973,1.3828040000000001,13.047993870144843,9.435895376455985
AC007431.2,1.0266790000000001,9.657698954628966,9.40673662812716
CA10,2.648558,24.90338815287112,9.402621408657511
AC007533.1,1.0080699999999998,9.472665535090794,9.39683309203805
IGHV5-78,33.963659,318.92796796771705,9.390271170951193
MAGI1-AS1,1.852196,17.378341825747043,9.382560930780027
CHGB,22.061437,206.93867193377136,9.380108464093764
AL162578.1,2.399177,22.498486294392354,9.377585019526427
AC139451.1,1.104212,10.332589017888102,9.357432284641085
RPS16P5,2.8983280000000002,27.11066547880097,9.353898343735066
AC103706.3,4.179215,39.0312809040982,9.339380937352637
MIR181A2,1.45001,13.524906022216864,9.3274570673422
RN7SL359P,4.265027,39.71911911125054,9.312747401423378
IRS4,2.783322,25.899320260315317,9.305182893073571
AP000867.4,2.1137360000000003,19.650450098299572,9.296548905965347
AL034417.1,1.7232859999999999,16.0118050524537,9.291438015775501
AC024451.1,1.088154,10.053667045144786,9.239195045135878
SNRPGP18,1.232275,11.379627487364727,9.234649317209817
AC069029.1,2.8836350000000004,26.62748097561507,9.233998399802703
RPL36AP41,1.15217,10.625419229523667,9.222093293110971
RNU7-80P,1.218364,11.22965900332749,9.216998371034839
RN7SL672P,1.05049,9.675609419446237,9.210567848762233
RNVU1-33,1.170422,10.765764873853927,9.198190801141747
TRIM67,1.2988269999999997,11.932757978332823,9.187334401219582
PTTG3P,1.1184,10.27330177809639,9.185713320901636
CTD-2350J17.1,1.040193,9.549646303114947,9.180648498033488
AC130895.1,1.047058,9.611652353685976,9.179675198208672
AC010970.1,14.116818999999998,129.5699050147021,9.178406623666573
RNVU1-2,1.361958,12.431396819735637,9.12759190792641
AC027018.1,1.20398,10.983565974388162,9.122714641761625
AC012404.1,1.4938539999999998,13.603394701103992,9.10624110596082
AC129502.1,1.296298,11.799793840914203,9.102686142317742
RN7SKP9,1.437346,13.079184705148789,9.099538110621095
MIR4714,4.079337,37.104708472660754,9.095769354838975
AC096733.1,1.5057809999999998,13.688020636512604,9.09031302461155
KRT79,8.391345000000001,76.24236859521459,9.08583410588107
RNU6-107P,2.51498,22.840188599621122,9.081658144248115
CSN3,129.94437299999998,1179.2953143242382,9.075385775452073
PRSS1,6.246430999999998,56.67763274733656,9.07360262961947
AC055807.1,2.234034,20.22628069294356,9.053703163400183
RNU4ATAC16P,1.731521,15.668812224386697,9.0491609540899
SHANK2-AS2,2.938701,26.542766124842373,9.03214247548232
AD000090.1,35.230288,318.0835277054981,9.02869507355427
RNU1-88P,1.368561,12.342459389996637,9.018567232294826
SCARNA5,25.273465,227.53425403511275,9.00289113641967
RN7SL329P,1.7124460000000001,15.408122898787031,8.99772775245878
AC108471.1,1.381912,12.427295777345623,8.992827167971349
MIR920,1.4596659999999997,13.001062616844637,8.906875008970983
UGT2B28,11.019774999999996,98.10570809292402,8.902696116111631
RNU4-40P,1.828993,16.21430905567613,8.865156430711396
TMEM75,2.728757,24.155414767161147,8.852167769853141
IGKV2OR22-4,15.153191999999999,133.7998084901248,8.829810147599582
MTATP8P2,17.494307,154.4145021407648,8.826557241779557
AC009686.1,1.4199709999999999,12.507262385278443,8.808111141198268
PCAT14,1.6341089999999994,14.386760497476018,8.804039692257998
SCARNA21,20.248599000000002,178.20803079050052,8.801005481440987
MAGEC1,1.9141769999999996,16.829566503247893,8.792063901743619
MIR5190,7.915553999999999,69.59183519887485,8.791783266070176
SNORD17,69.987992,614.759709293053,8.783788357480708
LINC02115,5.478215999999999,47.97738328147882,8.757848044231705
RNU4ATAC11P,1.110406,9.714670492712752,8.748755403620615
AC022196.1,2.6345780000000003,22.99639399707711,8.728682163548434
AL035425.4,1.126358,9.812427984095814,8.71164228788344
ACSM1,24.357118000000018,211.88204110702893,8.698978307163793
RERG-AS1,3.7431460000000003,32.55951946044094,8.698436945938239
SNORA74B,10.385322,90.02583981632307,8.668565097579359
AC103705.1,1.202,10.386085899827032,8.640670465746283
AC073916.1,1.4913760000000003,12.852508029144204,8.617885784097506
PDZPH1P,2.138761,18.422586237561298,8.613672232456688
SNORA70G,1.000626,8.618352325976858,8.61296061263335
AP003498.1,1.7164279999999998,14.73575228046153,8.585126949957429
MIR4802,1.149823,9.869931880894926,8.58387063130145
SNORD71,1.12528,9.639035236375102,8.565899364047262
AC084880.3,1.049729,8.973732728766349,8.54861848035669
AC027698.1,2.065993,17.659705339982345,8.547805021596076
DLK1,19.750106000000002,168.80749399221193,8.547169012268183
LRRN4,2.3148570000000004,19.779291461552955,8.544498196455743
AC022726.1,1.675282,14.310952630908858,8.542414131417193
MIR181B2,1.0917409999999999,9.317781218876492,8.534790961296217
AP000763.2,26.318090999999985,224.3681710071609,8.525244897403882
BCL2L1-AS1,4.141565,35.30646627163608,8.524909369196447
APOA2,1.2452799999999997,10.611368754103099,8.521271323801153
AP005131.4,1.357108,11.49459463067627,8.469918849992977
MIR5690,1.384226,11.717879766456702,8.465293793395517
RNY1P14,3.3300009999999998,28.14255173217023,8.451214198485296
MIR5699,1.004956,8.482582364133403,8.440750007098226
AC104058.1,1.019876,8.593059891706126,8.425592809033772
RNU6-171P,4.611868,38.85304475495168,8.424578664209747
RIPOR3-AS1,4.320366,36.37824541694387,8.4201767667239
RNVU1-31,3.281143,27.60377217076328,8.412852524490178
MIR3619,4.338927999999999,36.45099849236118,8.400922645492432
MIR4296,2.15519,18.089862903699586,8.393627895312981
LINC02077,1.780419,14.933776645906995,8.387787731936694
GNAT3,2.366575000000001,19.793390521822406,8.363728393066943
IGKV2-18,1.6850299999999996,14.035411972531726,8.329473049460086
PRSS2,16.54176,137.49280207451153,8.311860532042028
RNU6-123P,1.7634750000000003,14.582479533450755,8.26917281699528
PNLIPRP3,1.7775220000000003,14.667692543623167,8.251764278373582
RN7SL648P,2.182521,17.954358632704672,8.226431100871274
AC008649.2,1.6611500000000001,13.648308638147117,8.216180741141448
AL353583.1,1.3030410000000001,10.681424548839189,8.197305034023632
COL9A1,2.4071279999999984,19.726873819808414,8.19519104086215
AL031667.2,1.159007,9.484823548432516,8.18357744899946
KRT16P6,1.144852,9.350716177654336,8.167620074607317
CA6,9.362409,76.43383887468582,8.163907267316118
PRR27,1.4619159999999995,11.93461287075081,8.163678946499534
AP005131.5,3.0580700000000003,24.896736112451173,8.141323158871828
AC078850.1,2.105614,17.139777864860783,8.140037948484757
AL031666.3,1.6657840000000002,13.487146089208816,8.096575599963028
RPS29P22,1.223575,9.883113014176496,8.077243335452666
CCNYL7,1.744484,14.087744922755746,8.075594228869825
CTAG2,2.990978,24.15155571463016,8.074802193339488
AL356313.1,1.609559,12.986965253249512,8.068648153469063
CSN1S1,5.086959,41.02637433481816,8.065009829019294
FP671120.7,10.625611,85.62516421059107,8.058375580528129
SNORA12,5.645118999999999,45.46372856027942,8.053635106767356
SNORA73B,99.52795,795.3597008278165,7.991320034501027
AL356320.1,1.172354,9.36234944512381,7.985940633224956
GRIK1,4.209177,33.602340520152666,7.98311416225848
RNU6-759P,2.816975,22.465091086719884,7.974898991549405
MTATP8P1,10.237293999999999,81.41802784316795,7.95308094533262
MUC7,7.176196,57.02296033113721,7.946126378256281
SNORA22C,2.32397,18.450631275485925,7.939272570422993
HAO1,1.7576009999999997,13.943507420529553,7.933260973639384
AC108515.1,2.685834000000001,21.305453988237215,7.93252821590508
MIR1296,1.155548,9.159497104005155,7.926539705840999
SCG3,1.1760979999999999,9.3209544478874,7.925321229937812
CRISP3,99.86381899999995,791.4240741121955,7.925033130489391
AC091181.1,1.7408010000000003,13.784678402615503,7.918583687977834
SNORA47,3.8104559999999994,30.095646040170266,7.898174402268461
AP000902.1,1.8157830000000001,14.325336385875758,7.889343817997942
AMTN,10.937306,86.21748674206846,7.882881464783783
AC120498.1,1.995841,15.70368223771901,7.868203047095941
DSG1,12.277108000000005,96.34565714524882,7.84758569731966
AC016405.1,1.4048019999999999,11.02346821075524,7.846990686769552
ACTG1P22,11.188728000000001,87.79253145284169,7.846515837442976
S100A7A,8.785117000000001,68.58190470266528,7.806601175905258
KLK3,2.125897,16.59071737799959,7.80410216393343
HMGN2P30,1.073351,8.369784124033803,7.797807170286144
H2AZP4,2.0500309999999997,15.971524961812412,7.790869973094267
LACRT,9.012698,70.05041478998311,7.772413409390074
AC022726.2,1.115931,8.640997490641443,7.743308045606263
LINC02676,1.560489,12.075616062924933,7.738353851212621
UGT2B24P,5.071383,39.09104865042778,7.7081633649889545
MIR1205,3.8216200000000002,29.323431975366383,7.673037082537348
MIR8057,1.04535,8.013530719036991,7.66588292824125
C2CD4A,12.968534000000002,99.38515773894609,7.66356148959829
CLDN6,10.545720000000001,80.65322481730477,7.647958111660917
AC015883.1,1.341771,10.252871284140385,7.641297422690149
TBX10,2.064255000000001,15.771062206365347,7.640074606269739
MALAT1,435.034801,3322.0286867788377,7.636236639327707
RPS3P2,1.069003,8.152738210056059,7.626487680629577
MATN4,2.726778,20.79311052980197,7.625523797610943
TDGF1P5,1.24472,9.485145050354403,7.620304205246483
AC130650.1,1.250231,9.50797140667984,7.6049717265688015
NR0B1,3.4200890000000004,25.971890087767775,7.593922289088901
AL121955.1,1.3066000000000002,9.905955863453404,7.5814754809837765
