gene,log2FC,mean_tumor,mean_normal,t_statistic,p_value,n_tumor,n_normal,fdr,abs_log2FC,regulation
SFTPC,-8.477039026968383,6.170446010126049,14.647485037094432,-21.62318024705923,4.694071330531662e-40,98,50,9.169705678355415e-38,8.477039026968383,DOWN
AGER,-6.605771753838828,5.140420287931311,11.746192041770138,-27.575416098308466,1.1891366233125719e-54,98,50,2.3461665577957045e-51,6.605771753838828,DOWN
CLDN18,-6.532967078274535,3.3671952232466125,9.900162301521148,-24.209834147303066,7.69104664939501e-47,98,50,4.215120844237876e-44,6.532967078274535,DOWN
FABP4,-5.7459490439117795,2.5220539067938423,8.268002950705622,-26.25001821308848,6.007724526562345e-57,98,50,1.975540081817918e-53,5.7459490439117795,DOWN
UPK3B,-5.211812332126028,2.3084163501829873,7.520228682309015,-24.929254791047413,3.6036491032386234e-54,98,50,6.463636073354367e-51,5.211812332126028,DOWN
SFTPA1,-5.142922781220399,9.301907380225575,14.444830161445974,-14.010881685631178,5.21925156097639e-26,98,50,1.1544375930276253e-24,5.142922781220399,DOWN
SLC6A4,-5.134893680283162,0.6400438153985373,5.7749374956817,-18.67779498009142,4.497316824624331e-27,98,50,1.1233247832399819e-25,5.134893680283162,DOWN
SCGB1A1,-5.078906137222073,4.525544455109739,9.604450592331812,-9.86967847248866,9.310313831673362e-17,98,50,7.415926196968729e-16,5.078906137222073,DOWN
SFTPA2,-4.957126750883493,9.581993261560042,14.539120012443535,-14.073064649173912,1.4274491400888165e-26,98,50,3.3648233612846293e-25,4.957126750883493,DOWN
ITLN2,-4.943219952824339,0.6598089157847903,5.603028868609129,-34.22994072101976,4.5022210431886196e-57,98,50,1.7765764236422294e-53,4.943219952824339,DOWN
LGI3,-4.921239677697071,1.0522343223754156,5.973474000072486,-31.98807734071793,8.369717567511804e-68,98,50,1.6513452760700792e-63,4.921239677697071,DOWN
WIF1,-4.703660551483646,3.2610133953927796,7.964673946876426,-15.9817518863605,1.4213170890527784e-32,98,50,7.650595050550822e-31,4.703660551483646,DOWN
HBB,-4.699520496619381,5.415250290485782,10.114770787105163,-15.515227070430733,2.3752439104896635e-31,98,50,1.0675071151243976e-29,4.699520496619381,DOWN
MCEMP1,-4.690423139628246,2.5390392057269793,7.229462345355225,-22.178334720478976,8.467565250475531e-46,98,50,4.074757619314201e-43,4.690423139628246,DOWN
ANKRD1,-4.581323439243407,1.8721485921113108,6.4534720313547185,-14.47918438592803,6.574814088674813e-25,98,50,1.2843671482134065e-23,4.581323439243407,DOWN
HBA2,-4.560366418682843,3.8328607576608955,8.39322717634374,-17.164433126870225,5.767649784318905e-34,98,50,3.8971140494730133e-32,4.560366418682843,DOWN
PEBP4,-4.536433819452403,3.8003887143470636,8.336822533799467,-18.67438995307784,2.4615854476742295e-36,98,50,2.542779103801704e-34,4.536433819452403,DOWN
FCN3,-4.526719529633496,3.1222608608914224,7.648980390524919,-15.264428374218431,1.7198937942810745e-25,98,50,3.5946509069031356e-24,4.526719529633496,DOWN
TMEM100,-4.523271814387199,2.456975229385142,6.980247043772341,-18.12642608125599,4.127913453153813e-31,98,50,1.7743732555713448e-29,4.523271814387199,DOWN
GKN2,-4.472516826055987,2.244333683832328,6.716850509888315,-15.80003089547842,1.7394640609329455e-31,98,50,8.018604187431546e-30,4.472516826055987,DOWN
FAM83A,4.46872401858621,5.152189042492607,0.683465023906397,21.527561488133127,1.0788265317172742e-42,98,50,3.378610709647908e-40,4.46872401858621,UP
CRABP2,4.457196582217784,7.819276387822713,3.362079805604929,15.657114495975147,5.815525732210056e-32,98,50,2.854236882997622e-30,4.457196582217784,UP
FAM107A,-4.411696774200598,2.5457141045913585,6.957410878791956,-20.463326650014128,5.025702101732917e-40,98,50,9.721284555606907e-38,4.411696774200598,DOWN
