source_lineage,target_lineage,n_sl_pairs_tested,n_transferred,transfer_rate
ovary,blood,443,27,0.060948081264108354
ovary,colorectal,467,51,0.10920770877944326
ovary,lung,526,47,0.08935361216730038
ovary,skin,443,56,0.12641083521444696
ovary,breast,467,36,0.07708779443254818
ovary,pancreas,309,41,0.13268608414239483
ovary,central_nervous_system,443,24,0.05417607223476298
ovary,bone,453,52,0.11479028697571744
ovary,lymphocyte,370,22,0.05945945945945946
ovary,kidney,526,52,0.09885931558935361
ovary,upper_aerodigestive,526,32,0.060836501901140684
ovary,liver,156,18,0.11538461538461539
blood,ovary,760,34,0.04473684210526316
blood,colorectal,506,49,0.09683794466403162
blood,lung,760,136,0.17894736842105263
blood,skin,760,159,0.20921052631578949
blood,breast,566,37,0.06537102473498234
blood,pancreas,222,15,0.06756756756756757
blood,central_nervous_system,760,63,0.08289473684210526
blood,bone,628,45,0.07165605095541401
blood,lymphocyte,1023,170,0.16617790811339198
blood,kidney,760,114,0.15
blood,upper_aerodigestive,700,63,0.09
blood,liver,132,7,0.05303030303030303
colorectal,ovary,371,43,0.11590296495956873
colorectal,blood,243,33,0.13580246913580246
colorectal,lung,310,50,0.16129032258064516
colorectal,skin,304,40,0.13157894736842105
colorectal,breast,310,19,0.06129032258064516
colorectal,pancreas,142,11,0.07746478873239436
colorectal,central_nervous_system,243,18,0.07407407407407407
colorectal,bone,235,30,0.1276595744680851
colorectal,lymphocyte,168,25,0.1488095238095238
colorectal,kidney,310,40,0.12903225806451613
colorectal,upper_aerodigestive,310,21,0.06774193548387097
colorectal,liver,142,14,0.09859154929577464
lung,ovary,444,43,0.09684684684684684
lung,blood,407,119,0.29238329238329236
lung,colorectal,343,45,0.13119533527696792
lung,skin,407,125,0.3071253071253071
lung,breast,343,51,0.14868804664723032
lung,pancreas,157,27,0.17197452229299362
lung,central_nervous_system,407,55,0.13513513513513514
lung,bone,353,49,0.1388101983002833
lung,lymphocyte,316,74,0.23417721518987342
lung,kidney,444,88,0.1981981981981982
lung,upper_aerodigestive,444,62,0.13963963963963963
lung,liver,128,13,0.1015625
skin,ovary,1296,90,0.06944444444444445
skin,blood,1072,154,0.14365671641791045
skin,colorectal,920,49,0.05326086956521739
skin,lung,1072,136,0.12686567164179105
skin,breast,790,42,0.053164556962025315
skin,pancreas,522,29,0.05555555555555555
skin,central_nervous_system,1072,81,0.07555970149253731
skin,bone,641,59,0.09204368174726989
skin,lymphocyte,735,70,0.09523809523809523
skin,kidney,1072,148,0.13805970149253732
skin,upper_aerodigestive,978,96,0.09815950920245399
skin,liver,431,37,0.08584686774941995
breast,ovary,234,24,0.10256410256410256
breast,blood,234,16,0.06837606837606838
breast,colorectal,234,15,0.0641025641025641
breast,lung,234,42,0.1794871794871795
breast,skin,234,29,0.12393162393162394
breast,pancreas,162,19,0.11728395061728394
breast,central_nervous_system,234,25,0.10683760683760683
breast,bone,156,13,0.08333333333333333
breast,lymphocyte,156,15,0.09615384615384616
breast,kidney,234,22,0.09401709401709402
breast,upper_aerodigestive,234,17,0.07264957264957266
breast,liver,78,5,0.0641025641025641
pancreas,ovary,106,21,0.19811320754716982
pancreas,colorectal,106,13,0.12264150943396226
pancreas,lung,106,23,0.2169811320754717
pancreas,breast,106,11,0.10377358490566038
