driver_gene,target_gene,n_lineages,lineages,mean_effect,min_effect
BRCA2,RHEB,4,"blood, colorectal, lung, central_nervous_system",-0.3147019907909534,-0.3811160931152435
BRCA2,RARS1,4,"blood, lung, skin, upper_aerodigestive",-0.3612920721178251,-0.3889218334209529
KRAS,NARS2,4,"blood, lung, skin, upper_aerodigestive",-0.22979390378984235,-0.33854978771102284
BRCA2,PSMA4,4,"blood, lung, skin, upper_aerodigestive",-0.34118349224657973,-0.4220603162984513
KRAS,PPP4C,4,"lung, skin, central_nervous_system, upper_aerodigestive",-0.34063198639478054,-0.4371535797133772
KRAS,MRPL23,4,"blood, lung, skin, central_nervous_system",-0.28330747327013905,-0.3916157824267574
KRAS,MRPL16,4,"ovary, blood, lung, skin",-0.2244237051069902,-0.2830874330078804
KRAS,ADAT2,4,"blood, lung, skin, upper_aerodigestive",-0.22943096579382893,-0.27623620836248763
KRAS,RPP21,4,"lung, skin, central_nervous_system, upper_aerodigestive",-0.3056005835012962,-0.43756727378840976
KRAS,MRTO4,4,"ovary, skin, central_nervous_system, upper_aerodigestive",-0.35291067428122824,-0.39059381880862465
KRAS,PPAN,4,"blood, skin, kidney, upper_aerodigestive",-0.34475824787184095,-0.6151195753098633
BRCA2,PRPF6,4,"ovary, blood, lung, skin",-0.44903383678437436,-0.498211494378334
EGFR,CDS2,4,"ovary, lung, pancreas, kidney",-0.20701058770717934,-0.267114785296722
BRCA2,NSA2,4,"blood, lung, skin, bone",-0.3006802800446805,-0.4132062383545412
KRAS,TPI1,4,"blood, skin, central_nervous_system, upper_aerodigestive",-0.36508599549343046,-0.46734418813257284
BRCA2,AGAP6,4,"blood, colorectal, lung, skin",-0.3129166596985737,-0.4226241952649976
BRCA2,SF3B6,4,"blood, colorectal, lung, skin",-0.28577186582612135,-0.34449102407535115
PIK3CA,RFC5,4,"ovary, lung, breast, central_nervous_system",-0.2898298924411683,-0.3605377682959423
BRCA2,NEDD8,4,"blood, lung, skin, upper_aerodigestive",-0.3880278612452962,-0.4933032544314704
BRCA2,SKP2,4,"blood, colorectal, central_nervous_system, bone",-0.25882819803697293,-0.35229465286131206
KRAS,OXSM,3,"blood, lung, skin",-0.2526213261140789,-0.3840218261739431
KRAS,MRPL28,3,"blood, lung, kidney",-0.1956686552541714,-0.27948789873458607
KRAS,PMVK,3,"skin, central_nervous_system, upper_aerodigestive",-0.36624136401285595,-0.4197450943176658
KRAS,DPH5,3,"blood, kidney, upper_aerodigestive",-0.21580634782038577,-0.2765274126886495
KRAS,KDM8,3,"blood, lung, skin",-0.2053021737281362,-0.28640772769870154
KRAS,LONP1,3,"skin, central_nervous_system, upper_aerodigestive",-0.3433424911823686,-0.44140369830588777
BRCA2,CDC25B,3,"lung, central_nervous_system, bone",-0.22750871099467532,-0.2740856998446446
BRCA2,MRPL47,3,"lung, central_nervous_system, upper_aerodigestive",-0.22209001653692995,-0.3116218543888879
BRCA2,GPN1,3,"lung, skin, bone",-0.26297492668226,-0.34731172864536175
BRCA2,PPIE,3,"lung, skin, upper_aerodigestive",-0.2810686407255567,-0.35624668293421485
BRCA2,NELFCD,3,"lung, skin, upper_aerodigestive",-0.2783078534827394,-0.39357023572841016
BRCA2,CLNS1A,3,"lung, breast, central_nervous_system",-0.26261398050736634,-0.33892597762084953
ARID1A,HECTD1,3,"blood, skin, breast",-0.18360966954944288,-0.21529561700596828
BRCA2,CHCHD4,3,"lung, skin, upper_aerodigestive",-0.2224795674465455,-0.28300322783978893
BRCA2,NUP133,3,"ovary, blood, colorectal",-0.26943113492364934,-0.30749327237860236
BRCA2,CRNKL1,3,"ovary, lung, skin",-0.19932232998729726,-0.20996360705451744
KRAS,POLRMT,3,"blood, lung, skin",-0.3039519580166508,-0.3292000179342567
KRAS,GPI,3,"blood, lung, kidney",-0.34607965129596313,-0.5427436725831795
