cancer_type,category,gene,mean_log2tpm,std_log2tpm,pct_expressed
BRCA,targets,CD274,2.1010808699113217,0.8118682430753251,92.0
BRCA,targets,PDCD1LG2,2.86092692772468,0.9571163933476574,95.33333333333334
BRCA,targets,PDCD1,1.3910831417334066,0.9467855994573797,57.99999999999999
BRCA,targets,CTLA4,1.646719359829475,1.0188051465671886,70.0
BRCA,targets,LAG3,2.01107763572182,1.0723811262959564,86.66666666666667
BRCA,targets,HAVCR2,4.166945311298722,0.9543262768998622,99.33333333333333
BRCA,targets,TIGIT,1.5858471899408626,1.080054505363652,64.0
BRCA,targets,VSIR,4.700422754524059,1.0746940168321615,100.0
BRCA,costimulatory,CD28,1.8387318008521736,0.8688892594375901,80.0
BRCA,costimulatory,ICOS,1.3303190140100074,1.0147005216637557,54.0
BRCA,costimulatory,CD40,4.299086767939913,0.7644617913062476,100.0
BRCA,costimulatory,CD40LG,1.6879760218776136,0.9563008049581124,74.0
BRCA,costimulatory,TNFRSF4,2.480163051656644,0.8656321278661117,96.66666666666667
BRCA,costimulatory,TNFRSF9,1.0162498532992812,0.8425951139027055,40.0
BRCA,costimulatory,CD27,2.4067731940682364,1.0981542639644093,91.33333333333333
