cancer_type,cell_type,hazard_ratio,p_value,ci_lower,ci_upper,significant,direction
LUAD,CD8_T_cells,0.9833721746687223,0.925964812268746,0.6904329510917665,1.4006006410666858,False,protective
LUAD,CD4_T_cells,0.8535503631126766,0.39767625022360753,0.5913752116369195,1.2319559698032818,False,protective
LUAD,T_regulatory,1.0692624869939367,0.7220304033626535,0.7393430003558095,1.5464030437053353,False,risk
LUAD,NK_cells,0.9834367150503314,0.9291819603943547,0.6804265858671054,1.4213844558652815,False,protective
LUAD,B_cells,0.937678927590972,0.7205258653141966,0.659102652880961,1.3339982283563243,False,protective
LUAD,Macrophages_M1,0.8827445946742587,0.5908653892331264,0.5602165168628737,1.3909586668208829,False,protective
LUAD,Macrophages_M2,0.8169290541303047,0.25637274222653395,0.576157908497658,1.158316269965679,False,protective
LUAD,Dendritic_cells,0.8530871819801131,0.4316399113760748,0.5741218898036865,1.2676014501164865,False,protective
LUAD,Neutrophils,0.8513086723870941,0.3655420805785331,0.6006921441466613,1.20648565616089,False,protective
LUAD,Mast_cells,0.7044231103916324,0.030505614350047085,0.5128380019850578,0.9675802427533047,True,protective
LUAD,Exhaustion,0.9917067743327862,0.9696915942250841,0.645380741457547,1.5238792592980295,False,protective
LUAD,IFN_gamma,1.186146022495301,0.36023258887340126,0.8228448009240202,1.709851462999445,False,risk
