gene,sl_score,sl_n_drivers,sl_drivers,deg_score,deg_cancers,drug_score,n_drugs,approved_drugs,drug_names,immune_score,actionability
TP53,0.4,2,"BRAF, BRCA2",0.0,,1.0,452,152,"VEMURAFENIB, CHEMBL:CHEMBL602150, CHEMBL:CHEMBL201325, CHK1 INHIBITOR GDC-0575, FENTICLOR",0.0,0.43999999999999995
MYC,0.2,1,BRCA1,0.0,BRCA(↓-1.2),1.0,70,29,"UBENIMEX, DIETHYLSTILBESTROL, METHYLPREDNISOLONE, PERILLYL ALCOHOL, RONICICLIB",0.0,0.37
CCND1,0.2,1,STK11,0.0,,1.0,84,25,"ACETAMINOPHEN, URACIL, LY-510929, NTZDPA, BRICICLIB",0.0,0.37
GPX4,1.0,5,"BRAF, CTNNB1, EGFR, ERBB2, VHL",0.0,,0.0,0,0,,0.0,0.35
RET,0.0,0,,0.18535208601652295,BRCA(↑1.9),1.0,82,26,"SUNITINIB, CYC-116, HISTONE DEACETYLASE INHIBITOR, RET INHIBITOR APS03118, SELPERCATINIB",0.0,0.34633802150413073
CDK6,0.2,1,BRCA1,0.0,,0.9,17,8,"AT-7519, PALBOCICLIB, ABEMACICLIB, TRILACICLIB DIHYDROCHLORIDE, APREMILAST",0.0,0.34
FGFR3,0.0,0,,0.1531655243063245,BRCA(↑1.5),1.0,96,27,"FUTIBATINIB, CHEMBL:CHEMBL578061, TRAFERMIN, DACTOLISIB, MASITINIB",0.0,0.33829138107658113
ERBB2,0.0,0,,0.12311317744960322,BRCA(↑1.2),1.0,153,64,"MM-111, TRASTUZUMAB, PERTUZUMAB, FULVESTRANT, IL-12",0.0,0.3307782943624008
IDH2,0.0,0,,0.10916074249306815,BRCA(↑1.1),1.0,24,17,"ENASIDENIB, ALECTINIB, IDH2 MUTANT INHIBITOR TQB3455, GILTERITINIB, ENASIDENIB MESYLATE",0.0,0.327290185623267
PARP1,0.0,0,,0.10610086799628109,BRCA(↑1.1),0.95,26,9,"4-[3-(1,4-DIAZEPAN-1-YLCARBONYL)-4-FLUOROBENZYL]PHTHALAZIN-1(2H)-ONE, CEP-9722, NIACINAMIDE, NIRAPARIB TOSYLATE MONOHYDRATE, OLAPARIB",0.0,0.31152521699907026
FLT3,0.0,0,,0.0,,1.0,166,49,"RECOMBINANT TRANSFORMING GROWTH FACTOR-BETA 1, METHOTREXATE, CABOZANTINIB S-MALATE, HSP90 INHIBITOR LAM-003, DOVITINIB",0.0,0.3
BRAF,0.0,0,,0.0,,1.0,200,71,"TGX-221, SORAFENIB, BINIMETINIB, HSP90 INHIBITOR XL888, UPROSERTIB",0.0,0.3
AKT1,0.0,0,,0.0,,1.0,71,17,"TAS0612, GEDATOLISIB, IPATASERTIB, EVEROLIMUS, PHA-767491",0.0,0.3
HIF1A,0.0,0,,0.0,,1.0,145,47,"AMCINONIDE, EMETINE, FLUFENAMIC ACID, CHEMBL:CHEMBL458765, TIRATRICOL",0.0,0.3
BRCA2,0.0,0,,0.0,,1.0,34,13,"CEDIRANIB, VELIPARIB, VANILLIN, EPICATECHIN, NIRAPARIB",0.0,0.3
BCL2,0.0,0,,0.0,,1.0,82,32,"OXALIPLATIN, POLATUZUMAB VEDOTIN, METHYLPREDNISOLONE, TESETAXEL, MILATAXEL",0.0,0.3
VEGFA,0.0,0,,0.0,,1.0,53,27,"PTC299, PEGAPTANIB, BROLUCIZUMAB, GENTAMICIN, AFLIBERCEPT",0.0,0.3
CDK4,0.0,0,,0.0,,1.0,64,15,"RIBOCICLIB, R547, PALBOCICLIB, RECOMBINANT TRANSFORMING GROWTH FACTOR, ATIRMOCICLIB",0.0,0.3
